Old_names,Old_logfoldchanges,Old_pvals,Old_pvals_adj,Young_names,Young_logfoldchanges,Young_pvals,Young_pvals_adj
Irf7,,3.5716302901201218e-06,9.136837225836703e-05,Mboat2,,0.010324064612144017,0.07320360306509363
Usmg5,,3.610023912647465e-06,9.175086749416998e-05,Tmem267,,0.010593559674027898,0.07497864839809258
Snta1,,3.756451782232152e-06,9.4856466294559e-05,Fbn1,,0.01064417850726723,0.07520092902065693
Mrpl18,,3.860643535032999e-06,9.686255638537921e-05,Slc12a2,,0.010953300354440434,0.07724543709419794
Tmem176a,,4.370214758935418e-06,0.00010894917558263201,Inpp5f,,0.01105920748234818,0.07784513699065304
Igtp,,4.5507411025403856e-06,0.00011273164984394348,Pcdh12,,0.011238570166596042,0.07880544227652032
Chchd7,,5.014775914120039e-06,0.00012344549011236372,Shank3,,0.011348712218831599,0.07903711676958519
Mrpl55,,5.373517111770221e-06,0.00013063320481657544,Podxl,,0.01154622198012973,0.07998568642518189
Fam220a,,5.4991865559286076e-06,0.00013286306283891709,Ndufa4l2,,0.012556325828875219,0.08606910559407636
Rsad2,,5.621322558973605e-06,0.0001349807146982987,Bcl6b,,0.012764985469942095,0.08734642155481358
Rpl3l,,6.126081954357614e-06,0.00014620417542290064,Fabp5,,0.012809355280562434,0.08741531149631951
Ppp1r27,,7.275515183323464e-06,0.00017258403895471536,Zfp106,,0.01289649965229618,0.08777664464507237
Ankrd9,,7.88345599718934e-06,0.00018476554953891663,Ppp1r16b,,0.01291756446488546,0.08777664464507237
Bin1,,8.264522485244527e-06,0.0001925436964717088,Dmd,,0.013027188375180698,0.08836813743580113
Jtb,,9.391871783127174e-06,0.00021623403623035153,Kdm3a,,0.01307662466258111,0.08855001544868939
Cox8b,,9.899857839450378e-06,0.00022659674610297532,Fam84b,,0.014195663524920483,0.09465387910824323
Idh3g,,1.0546478682908877e-05,0.0002399937067727055,Angptl1,,0.014543044643343188,0.09615114313183318
Gmpr,,1.0718152508279652e-05,0.00024249045616998012,Stk10,,0.015333077215913855,0.09936945232498638
Tmem52,,1.1011061349385296e-05,0.00024768559839939106,Epb41,,0.016475924335597962,0.1053705357018471
Ak1,,1.1370446150942111e-05,0.00025286321724311036,Kif26a,,0.016646873219723763,0.10591296285673385
Inmt,,1.149602088989703e-05,0.0002542114449890225,Lnx1,,0.018232338780680916,0.11491364571269744
Cacng1,,1.2369524904327086e-05,0.0002719905644693046,Car4,,0.01841010432000455,0.1156615542672517
Mrps21,,1.3329012067462615e-05,0.00028664699578048725,Chka,,0.01844633336685641,0.11570344358633972
Mrpl42,,1.4105622347422565e-05,0.0003016907424470597,Mapk8,,0.019392070119378147,0.12052879690194257
Sdhaf4,,1.4473847488941241e-05,0.00030752390103226787,Nr4a2,,0.01940039398268365,0.12052879690194257
Lgals3,,1.4535493533717311e-05,0.00030752390103226787,Naa35,,0.01960950761108344,0.12144242530028573
Mrps34,,1.673371880656148e-05,0.00034838178408979595,Pknox1,,0.019870368017753676,0.12283996808507114
Il33,,1.7354331954014922e-05,0.0003593907686138328,Gas1,,0.02007442880724727,0.12373435330955247
Hist1h2bc,,1.769152825778339e-05,0.00036444548211033784,Siah2,,0.020488344450988648,0.12588913686211864
Mapk12,,1.988204293105227e-05,0.0004074257383881602,Cldn5,,0.02057521810630843,0.12622477063964138
Btbd1,,2.1003269081080323e-05,0.0004281603915799395,Polk,,0.02075662805583217,0.12693975345394862
Coq10a,,2.4191473901213982e-05,0.0004905980769396453,Net1,,0.021402587846907004,0.13037023907460774
Nipsnap2,,2.5491305674260708e-05,0.0005142936619023527,Plekhg5,,0.02150476060356829,0.13049555504242835
Vdac1,,2.7965322114727196e-05,0.0005584503610053176,Nsun6,,0.02175634108213884,0.1318178312623706
Myot,,3.0033743546898584e-05,0.0005967110266119851,Agpat5,,0.02181987355328071,0.13199843135632255
Hk2,,3.219946751499967e-05,0.0006301435792685436,Cd300lg,,0.022197688325760148,0.13366423401080804
